age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
82,5,0,2,0,0,0,0,1,12,9,226,1,-1,0,3,1
38,10,1,0,0,7005,1,0,0,7,5,370,1,412,1,0,1
31,2,2,2,0,150,1,0,2,23,8,83,2,-1,0,3,0
57,1,1,0,0,249,1,0,2,5,8,164,1,-1,0,3,0
48,10,1,2,0,1571,1,0,0,24,3,104,3,-1,0,3,0
46,9,0,1,0,-154,1,0,0,17,5,158,1,-1,0,3,0
59,9,0,1,0,2595,1,0,0,29,1,398,2,-1,0,3,0
55,9,0,2,0,0,1,0,2,30,8,234,1,-1,0,3,0
46,0,1,1,0,368,0,0,0,20,1,293,1,90,4,1,1
45,4,0,1,0,51,1,0,0,31,5,67,8,-1,0,3,0
40,1,1,1,0,5060,0,0,0,10,3,154,2,93,1,2,1
54,1,1,0,0,551,1,0,0,17,0,251,1,263,2,0,0
32,1,1,0,0,274,1,0,2,9,8,21,3,-1,0,3,0
46,1,1,0,0,2093,0,0,2,5,6,128,2,-1,0,3,0
33,4,2,2,0,561,0,0,0,7,0,104,1,-1,0,3,0
50,5,1,1,0,0,1,1,2,17,6,328,3,-1,0,3,0
41,9,2,1,0,0,0,0,2,9,6,229,2,-1,0,3,0
25,4,2,1,0,1923,0,1,0,8,5,71,1,-1,0,3,0
32,6,1,2,0,210,1,0,0,19,9,268,1,-1,0,3,0
31,9,2,2,0,279,1,0,2,13,8,198,1,-1,0,3,0
49,4,1,2,0,6613,0,0,0,19,9,106,1,155,3,0,0
64,5,1,2,0,1644,0,0,1,7,11,569,4,-1,0,3,1
34,1,2,1,0,177,1,0,2,8,8,500,1,-1,0,3,0
39,1,1,1,1,-16,0,0,2,29,8,285,2,-1,0,3,0
30,4,2,2,0,1571,0,0,0,5,1,996,2,-1,0,3,0
29,7,1,1,0,31,1,0,0,24,5,71,5,-1,0,3,0
37,7,2,1,0,1050,1,0,0,3,3,586,3,-1,0,3,0
39,7,2,1,0,158,1,0,2,6,6,354,2,-1,0,3,0
35,0,2,1,0,321,0,0,0,21,5,143,1,412,3,1,1
26,8,2,2,0,641,1,0,0,15,8,55,1,368,1,0,0
54,7,1,1,0,171,0,1,0,14,5,673,8,-1,0,3,0
57,3,1,0,0,1303,0,0,0,25,1,83,4,-1,0,3,0
35,7,2,1,0,-291,1,0,0,20,0,197,3,-1,0,3,0
34,4,0,2,0,94,1,0,0,7,8,46,1,-1,0,3,0
41,4,1,1,0,3018,1,0,0,17,9,536,2,-1,0,3,0
42,1,1,3,0,149,1,0,1,23,5,329,3,-1,0,3,0
29,9,2,2,0,172,1,1,0,7,10,271,2,187,16,0,0
60,1,1,1,0,241,1,0,1,30,5,42,3,-1,0,3,0
53,5,0,0,0,2997,0,0,2,9,6,162,1,-1,0,3,0
28,0,2,1,0,177,1,1,0,6,8,150,1,-1,0,3,0
43,1,1,1,0,3,1,0,1,13,8,26,1,174,2,0,0
59,5,0,0,0,40,0,0,2,6,6,108,1,-1,0,3,0
50,0,2,0,0,181,1,0,0,15,8,119,4,372,3,0,0
51,2,0,2,0,23,1,0,0,18,5,177,3,-1,0,3,0
44,7,1,0,0,1161,1,0,0,19,9,402,1,184,5,0,0
61,5,0,1,0,927,0,0,0,30,0,427,3,-1,0,3,1
30,10,2,1,0,79,0,1,0,5,3,528,2,196,1,0,0
44,6,2,1,0,125,1,0,1,17,0,109,3,-1,0,3,0
51,4,1,2,0,-15,0,0,0,25,5,212,2,-1,0,3,0
42,9,1,1,0,613,1,0,0,11,8,432,2,-1,0,3,0
55,0,1,1,0,9329,0,0,0,22,6,136,1,95,1,0,0
77,11,1,3,0,397,0,0,1,7,8,300,3,-1,0,3,1
36,1,1,1,0,-870,1,0,2,26,8,102,2,-1,0,3,0
35,9,1,1,0,700,1,0,2,23,8,240,2,-1,0,3,0
50,4,1,2,0,3284,1,0,2,9,8,51,3,-1,0,3,0
32,0,2,1,0,-15,0,0,2,27,8,214,2,-1,0,3,0
47,0,1,1,0,0,0,0,0,10,9,213,1,190,1,1,1
59,5,1,3,0,1116,0,0,0,30,0,353,1,-1,0,3,0
59,0,1,1,0,0,1,0,0,10,5,982,1,-1,0,3,1
60,5,0,1,0,545,1,0,2,6,8,1030,1,-1,0,3,1
31,1,1,0,0,76,0,1,1,7,5,146,4,-1,0,3,0
37,4,1,2,0,984,1,0,0,18,1,180,4,-1,0,3,0
58,4,1,2,0,172,0,0,0,19,1,145,7,-1,0,3,0
40,9,2,2,0,1646,1,0,0,4,8,392,2,91,3,2,1
50,2,1,0,0,461,1,0,2,15,8,651,32,-1,0,3,1
38,9,1,1,0,625,1,0,2,4,6,140,2,-1,0,3,0
52,3,1,0,0,256,0,0,0,6,1,137,1,-1,0,3,0
24,9,2,1,0,-103,1,1,2,5,8,145,1,-1,0,3,0
54,2,1,1,0,0,0,0,2,9,6,96,1,-1,0,3,0
31,0,2,1,0,112,1,0,0,22,5,102,7,-1,0,3,0
32,7,1,1,0,1844,1,1,0,17,5,168,6,-1,0,3,0
54,9,1,1,0,369,0,0,0,4,1,226,1,-1,0,3,0
38,1,2,1,0,93,0,0,2,9,6,92,6,-1,0,3,0
43,7,1,1,0,774,0,0,0,25,7,101,1,421,1,2,1
52,10,1,2,0,1595,0,0,0,6,3,40,1,-1,0,3,0
47,7,1,1,0,2,0,1,0,21,5,71,15,-1,0,3,0
63,9,1,1,0,973,0,0,0,25,3,318,1,388,1,2,1
50,1,0,0,0,5,0,0,0,7,5,118,1,-1,0,3,0
48,9,0,2,0,-136,1,0,2,21,8,7,12,-1,0,3,0
52,4,1,2,0,163,0,0,0,28,1,638,6,-1,0,3,0
54,7,1,1,0,2061,1,0,1,31,5,301,7,-1,0,3,0
26,1,1,1,0,624,1,0,0,5,3,188,1,247,4,1,0
43,7,2,3,0,193,1,0,2,8,8,74,7,-1,0,3,0
40,0,1,1,0,0,0,0,2,16,6,368,12,-1,0,3,0
50,6,0,1,0,985,1,1,1,21,9,167,1,-1,0,3,0
41,9,1,2,0,725,1,1,2,27,8,87,3,-1,0,3,0
44,2,1,2,0,121,0,0,0,10,1,412,1,-1,0,3,1
45,9,1,1,0,581,0,0,0,8,1,156,2,-1,0,3,0
43,9,1,1,0,4056,0,0,0,4,8,13,6,89,2,0,0
29,0,1,1,0,1937,0,0,2,25,1,6,1,-1,0,3,0
43,9,0,1,0,1532,0,0,0,11,1,61,2,-1,0,3,0
32,4,2,2,0,7290,1,0,0,18,8,357,1,-1,0,3,1
38,1,1,0,0,298,0,0,2,16,6,147,1,-1,0,3,0
34,4,1,2,0,1657,1,0,0,18,8,566,2,356,4,0,0
50,1,1,0,0,260,1,0,2,12,6,237,1,-1,0,3,0
40,7,1,1,0,1938,0,0,2,29,8,37,1,-1,0,3,0
37,6,1,0,0,0,0,0,2,7,8,112,4,-1,0,3,0
31,9,2,2,0,236,1,0,0,30,4,200,1,259,1,0,0
44,9,1,1,0,363,0,1,2,5,6,650,2,-1,0,3,0
39,4,1,2,0,218,0,0,0,19,1,97,9,-1,0,3,0
44,9,2,1,0,196,1,0,0,6,3,386,3,-1,0,3,0
52,4,1,2,0,1147,0,0,2,18,6,43,1,-1,0,3,0
49,4,1,2,0,342,0,0,0,30,4,433,2,228,1,0,0
41,4,0,2,0,0,0,0,0,3,3,475,3,-1,0,3,0
38,4,1,2,0,12877,0,0,2,17,6,118,3,-1,0,3,0
40,0,2,1,0,1200,1,0,0,21,9,163,2,156,8,0,0
53,9,1,2,0,6072,0,1,2,16,6,226,4,-1,0,3,0
53,5,1,1,0,1296,1,0,2,17,6,115,1,-1,0,3,0
36,2,2,2,0,145,1,0,0,18,8,450,2,304,2,2,0
37,9,2,1,0,1012,1,0,0,20,0,218,4,-1,0,3,0
45,1,1,0,0,351,1,0,2,19,6,66,1,-1,0,3,0
30,1,2,1,0,-457,1,0,2,5,8,143,2,-1,0,3,0
38,9,2,1,0,435,1,0,0,6,8,437,4,345,1,0,0
33,8,1,1,0,0,0,0,0,21,5,100,1,-1,0,3,0
54,5,1,1,0,883,0,0,1,5,3,305,4,-1,0,3,0
61,4,1,2,0,1224,0,0,0,1,10,99,1,-1,0,3,0
28,1,2,1,1,-2,1,1,0,13,8,172,2,364,5,0,0
35,6,1,2,0,7990,1,0,0,4,3,357,1,-1,0,3,0
32,1,1,1,0,-230,1,0,0,14,5,331,2,-1,0,3,0
54,10,0,1,0,309,0,0,0,20,0,241,1,-1,0,3,1
31,1,0,1,0,15187,0,0,0,12,6,127,2,-1,0,3,0
42,1,2,1,0,583,0,0,0,28,4,567,3,-1,0,3,0
26,4,2,2,0,1284,1,0,2,21,8,97,8,-1,0,3,0
31,10,1,2,0,330,0,0,0,13,5,309,1,181,3,2,1
