age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
26,1,2,1,0,184,0,0,0,3,3,110,2,6,1,1,0
35,6,1,1,0,0,1,0,1,7,5,126,4,-1,0,3,0
59,0,1,1,0,230,1,0,2,6,8,190,3,-1,0,3,0
37,1,1,0,0,0,0,0,0,18,9,850,2,-1,0,3,0
60,4,1,2,0,328,1,0,2,20,8,72,5,-1,0,3,0
48,4,0,2,0,1328,1,0,2,6,8,339,1,-1,0,3,0
54,9,1,2,0,-800,1,0,2,26,8,445,2,-1,0,3,0
33,7,2,1,0,3358,1,0,0,5,3,502,2,-1,0,3,0
35,4,2,2,0,250,0,0,2,19,6,92,2,-1,0,3,0
38,9,1,1,0,10596,0,0,0,19,1,195,1,197,4,1,1
36,4,1,2,0,348,0,1,0,22,5,307,1,-1,0,3,0
44,4,1,2,0,2383,0,0,0,1,5,571,2,-1,0,3,1
44,7,0,1,0,1,1,0,2,6,8,235,4,-1,0,3,0
28,4,2,2,0,187,0,0,0,9,6,206,1,92,1,2,1
47,0,1,1,0,1195,0,0,2,19,6,451,1,-1,0,3,0
38,4,2,2,0,574,1,0,0,28,4,62,1,-1,0,3,0
51,7,1,0,0,314,1,1,1,8,8,713,3,-1,0,3,0
52,1,1,0,0,2091,0,0,0,6,1,181,2,-1,0,3,0
25,7,1,1,0,72,1,0,0,23,5,305,2,-1,0,3,0
55,2,1,1,0,814,0,1,0,28,5,69,12,-1,0,3,0
28,4,2,2,0,1996,1,1,2,28,8,55,1,-1,0,3,0
37,1,2,0,0,7027,0,0,2,9,6,65,1,-1,0,3,0
38,4,1,1,0,10357,0,0,0,15,8,103,3,-1,0,3,0
43,9,1,1,0,212,1,0,2,14,8,78,1,-1,0,3,0
42,9,1,2,0,1189,0,0,2,5,6,323,3,-1,0,3,0
58,5,1,2,0,138,0,0,0,7,8,143,1,346,5,0,0
42,7,0,1,0,372,1,1,2,6,8,121,2,-1,0,3,0
41,1,0,0,0,664,0,1,0,15,5,955,5,-1,0,3,1
41,0,2,1,0,219,1,0,0,28,4,119,1,268,1,1,0
36,9,2,1,0,7503,1,0,2,4,6,25,1,-1,0,3,0
58,1,1,1,0,0,0,0,0,18,1,27,17,-1,0,3,0
53,4,1,2,1,0,0,1,2,5,6,189,1,-1,0,3,0
38,9,1,0,0,-1038,0,1,0,23,5,222,1,-1,0,3,0
25,7,2,1,0,94,0,0,2,25,3,32,1,-1,0,3,0
55,7,1,1,0,-31,0,1,0,13,1,81,2,-1,0,3,0
32,1,1,1,0,305,1,0,0,20,9,73,1,-1,0,3,0
42,10,1,0,0,2636,0,0,0,17,9,178,2,151,1,0,0
40,1,1,1,0,475,1,0,2,5,8,332,2,-1,0,3,0
31,10,0,2,0,256,1,0,0,2,3,264,1,201,2,2,0
43,1,1,1,0,1149,0,0,1,29,5,237,2,-1,0,3,0
44,4,1,2,0,1732,1,0,2,30,8,43,1,-1,0,3,0
43,9,1,1,0,463,0,0,2,3,6,268,1,-1,0,3,0
